Column1	Column2	Column3	Column4	Column5
樂高玩電影2遊戲	https://ec.nintendo.com/HK/zh/titles/70010000013358	× 1 ～ 2	HKD 312	HKD 78
Kawaii Deathu Desu	https://ec.nintendo.com/HK/zh/titles/70010000022658	× 1 ～ 2	HKD 38	HKD 10
Checkers for Kids	https://ec.nintendo.com/HK/zh/titles/70010000043018	× 1 ～ 2	HKD 99	HKD 15
煉金對決 (Alchemic Jousts)	https://ec.nintendo.com/HK/zh/titles/70010000009875	× 1 ～ 2	HKD 78	HKD 10
Ghost Blade HD	https://ec.nintendo.com/HK/zh/titles/70010000014494	× 1 ～ 2	HKD 108	HKD 35
Tony Hawk's? Pro Skater? 1 + 2	https://ec.nintendo.com/HK/zh/titles/70010000039357	× 1 ～ 2	HKD 311	HKD 155
Tony Hawk's? Pro Skater?  1 + 2 - 數位豪華版	https://ec.nintendo.com/HK/zh/bundles/70070000011851	× 1 ～ 2	HKD 388	HKD 194
Sky Racket	https://ec.nintendo.com/HK/zh/titles/70010000027200	× 1 ～ 2	HKD 76	HKD 22
Super Cable Boy《超級電源線男孩》	https://ec.nintendo.com/HK/zh/titles/70010000040193	× 1 ～ 2	HKD 106	HKD 64
The Bug Butcher	https://ec.nintendo.com/HK/zh/titles/70010000011233	× 1 ～ 2	HKD 58	HKD 25
Fight'N Rage	https://ec.nintendo.com/HK/zh/titles/70010000028686	× 1 ～ 3	HKD 148	HKD 58
Urban Flow	https://ec.nintendo.com/HK/zh/titles/70010000036221	× 1 ～ 4	HKD 120	HKD 10
	https://ec.nintendo.com/HK/zh/titles/70010000012304	× 1 ～ 4	HKD 465	HKD 231
	https://ec.nintendo.com/HK/zh/titles/70010000015172	× 1 ～ 4	HKD 449	HKD 48
	https://ec.nintendo.com/HK/zh/titles/70010000037361	× 1 ～ 4	HKD 275	HKD 137
	https://ec.nintendo.com/HK/zh/titles/70010000048537	× 1 ～ 4	HKD 119	HKD 17
Death Road to Canada	https://ec.nintendo.com/HK/zh/titles/70010000013979	× 1 ～ 4	HKD 118	HKD 35
Shakes on a Plane	https://ec.nintendo.com/HK/zh/titles/70010000034078	× 1 ～ 4	HKD 85	HKD 10
Overcooked! 2 - Gourmet Edition	https://ec.nintendo.com/HK/zh/bundles/70070000010913	× 1 ～ 4	HKD 354	HKD 88
Gang Beasts	https://ec.nintendo.com/HK/zh/titles/70010000033940	× 1 ～ 4	HKD 159	HKD 111
NBA 2K 熱血街球場2	https://ec.nintendo.com/HK/zh/titles/70010000013729	× 1 ～ 4	HKD 248	HKD 62
尼克卡通賽車手2 (Nickelodeon Kart Racers 2: Grand Prix)	https://ec.nintendo.com/HK/zh/titles/70010000034495	× 1 ～ 4	HKD 308	HKD 77
金屬元素：死亡金屬之死亡競賽！	https://ec.nintendo.com/HK/zh/titles/70010000050147	× 1 ～ 4	HKD 108	HKD 16
Crazy Trucks	https://ec.nintendo.com/HK/zh/titles/70010000046496	× 1 ～ 4	HKD 129	HKD 19
網路協定	https://ec.nintendo.com/HK/zh/titles/70010000048952	× 1 ～ 4	HKD 79	HKD 10
Baby Storm (寶寶鬧翻天)	https://ec.nintendo.com/HK/zh/titles/70010000049835	× 1 ～ 4	HKD 149	HKD 74
星際萌熊 + 無熊DLC	https://ec.nintendo.com/HK/zh/bundles/70070000013327	× 1 ～ 4	HKD 70	HKD 28
體感嘉年華	https://ec.nintendo.com/HK/zh/titles/70010000012684	× 1 ～ 4	HKD 318	HKD 79
KnightOut	https://ec.nintendo.com/HK/zh/titles/70010000051580	× 1 ～ 4		HKD 81
Ludomania	https://ec.nintendo.com/HK/zh/titles/70010000011743	× 1 ～ 4	HKD 23	HKD 10
AnimaLudo	https://ec.nintendo.com/HK/zh/titles/70010000042289	× 1 ～ 4	HKD 69	HKD 10
PGA TOUR 2K21	https://ec.nintendo.com/HK/zh/titles/70010000028539	× 1 ～ 4	HKD 429	HKD 107
超然	https://ec.nintendo.com/HK/zh/titles/70010000046123	× 1 ～ 4	HKD 79	HKD 10
LEGO? 旋風忍者?大電影遊戲 [The LEGO? NINJAGO? Movie Videogame]	https://ec.nintendo.com/HK/zh/titles/70010000050983	× 1 ～ 4	HKD 312	HKD 249
WWE 2K殺戮戰場	https://ec.nintendo.com/HK/zh/titles/70010000021707	× 1 ～ 4	HKD 279	HKD 111
LEGO? 漫威超級英雄 2 [LEGO? Marvel Super Heroes 2]	https://ec.nintendo.com/HK/zh/titles/70010000050975	× 1 ～ 4	HKD 388	HKD 310
Rogue Heroes: Ruins of Tasos	https://ec.nintendo.com/HK/zh/titles/70010000037075	× 1 ～ 4	HKD 139	HKD 55
《Crash Bandicoot? 4: It’s About Time》	https://ec.nintendo.com/HK/zh/titles/70010000036331	× 1 ～ 4	HKD 312	HKD 234
Smoots Summer Games	https://ec.nintendo.com/HK/zh/titles/70010000022342	× 1 ～ 4	HKD 78	HKD 25
Scribblenauts Showdown	https://ec.nintendo.com/HK/zh/titles/70010000028996	× 1 ～ 4	HKD 312	HKD 62
《暴雪?遊樂場典藏系列》Blizzard? Arcade Collection	https://ec.nintendo.com/HK/zh/titles/70010000037077	× 1 ～ 4	HKD 159	HKD 79
Splash Cars	https://ec.nintendo.com/HK/zh/titles/70010000045889	× 1 ～ 4	HKD 48	HKD 35
Moorhuhn Remake	https://ec.nintendo.com/HK/zh/titles/70010000043061	× 1 ～ 4	HKD 65	HKD 45
Kids Play 動物卡片遊戲 卡片配對遊戲	https://ec.nintendo.com/HK/zh/titles/70010000039533	× 1 ～ 4	HKD 60	HKD 30
《Just Dance 舞力全開 2022》- 豪華版 (Just Dance 2022 Deluxe Edition)	https://ec.nintendo.com/HK/zh/bundles/70070000013208	× 1 ～ 6	HKD 463	HKD 208
Snake vs Snake	https://ec.nintendo.com/HK/zh/titles/70010000012602	× 1 ～ 6	HKD 40	HKD 28
Roof Rage	https://ec.nintendo.com/HK/zh/titles/70010000025308	× 1 ～ 8	HKD 118	HKD 28
MageQuit	https://ec.nintendo.com/HK/zh/titles/70010000031191	× 1 ～ 8	HKD 117	HKD 15
Super Jumpy Ball	https://ec.nintendo.com/HK/zh/titles/70010000049341	× 1 ～ 8	HKD 29	HKD 20
Total Arcade Racing	https://ec.nintendo.com/HK/zh/titles/70010000042202	× 1 ～ 8	HKD 79	HKD 55
